store,category,name,brand,price,promo_price,unit_price,unit,url,scraped_at
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Creatine | Citroen,XXL Nutrition,9.99,2de tegen -50%,"39,96 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Creatine/Proteinen-Creatine-Citroen/p/S2025073000883710000,2026-05-10T15:05:38.369168
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Pistache,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Pistache/p/S2025073000883750000,2026-05-10T15:05:38.429134
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Vanille-Caramel,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Vanille-Caramel/p/S2025073000883740000,2026-05-10T15:05:38.493584
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Snickerdoodle,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Snickerdoodle/p/S2025073000883780000,2026-05-10T15:05:38.571877
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Cookie & Cream,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Cookie-and-Cream/p/S2025080100884740000,2026-05-10T15:05:38.635025
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Bosvruchten,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Bosvruchten/p/S2025080600886330000,2026-05-10T15:05:38.699195
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Banaan,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Banaan/p/S2025082000889060000,2026-05-10T15:05:38.764210
Delhaize,Sport en gezondheid,Kazidomi Essentiele Olie | Sinaasappel | Bio,Kazidomi,2.79,,"279,00 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Aromatherapie/Essentiele-Olie-Sinaasappel-Bio/p/S2025052000129900000,2026-05-10T15:05:39.324160
Delhaize,Sport en gezondheid,Gerlinea Reep | Proteïne | Chocolade,Gerlinea,3.69,,"45,56 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Reep-Proteine-Chocolade/p/S2024092000790900000,2026-05-10T15:05:39.902601
Delhaize,Sport en gezondheid,Dextro Energy Tabletten | Direct Energy | Zure Bes,Dextro Energy,2.99,,"21,21 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Tabletten-Direct-Energy-Zure-Bes/p/S2025012000819630000,2026-05-10T15:05:40.477986
Delhaize,Sport en gezondheid,Isostar Actifood | Exotic,Isostar,3.89,,"43,22 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Actifood-Exotic/p/S2014031800215260000,2026-05-10T15:05:41.035240
Delhaize,Sport en gezondheid,Biover Hoestpastilles,Biover,10.99,,"0,55 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Hoestpastilles/p/S2021050500540570000,2026-05-10T15:05:41.608148
